catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-delete-admin-key,reviewed,DELETE,/admin-key,Disable Admin Key,reconcile,Admin Key reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-get-admin-key,reviewed,GET,/admin-key,Get Admin Key,extract,Admin Key extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Admin Key,admin-key-post-admin-key,reviewed,POST,/admin-key,Enable Admin Key,transform,Admin Key reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-admin-key/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-get-app-properties,reviewed,GET,/app/properties,Get Forge app properties.,extract,App Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-delete-app-properties-propertykey,reviewed,DELETE,/app/properties/{propertyKey},Deletes a Forge app property.,reconcile,App Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-get-app-properties-propertykey,reviewed,GET,/app/properties/{propertyKey},Get a Forge app property by key.,extract,App Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,App Properties,app-properties-put-app-properties-propertykey,reviewed,PUT,/app/properties/{propertyKey},Create or update a Forge app property.,load,App Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-app-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-attachments,reviewed,GET,/attachments,Get attachments,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-attachments-attachment-id-properties,reviewed,GET,/attachments/{attachment-id}/properties,Get content properties for attachment,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-attachments-attachment-id-properties,reviewed,POST,/attachments/{attachment-id}/properties,Create content property for attachment,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-attachments-attachment-id-properties-property-id,reviewed,DELETE,/attachments/{attachment-id}/properties/{property-id},Delete content property for attachment by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-attachments-attachment-id-properties-property-id,reviewed,GET,/attachments/{attachment-id}/properties/{property-id},Get content property for attachment by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-attachments-attachment-id-properties-property-id,reviewed,PUT,/attachments/{attachment-id}/properties/{property-id},Update content property for attachment by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-attachments-attachment-id-versions-version-number,reviewed,GET,/attachments/{attachment-id}/versions/{version-number},Get version details for attachment version,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-delete-attachments-id,reviewed,DELETE,/attachments/{id},Delete attachment,reconcile,Attachment reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-attachments-id,reviewed,GET,/attachments/{id},Get attachment by id,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Comment,comment-get-attachments-id-footer-comments,reviewed,GET,/attachments/{id}/footer-comments,Get attachment comments,extract,Comment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-comment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Label,label-get-attachments-id-labels,reviewed,GET,/attachments/{id}/labels,Get labels for attachment,extract,Label extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-label/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Operation,operation-get-attachments-id-operations,reviewed,GET,/attachments/{id}/operations,Get permitted operations for attachment,extract,Operation extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-operation/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-attachments-id-thumbnail-download,reviewed,GET,/attachments/{id}/thumbnail/download,Download attachment thumbnail by id,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-attachments-id-versions,reviewed,GET,/attachments/{id}/versions,Get attachment versions,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Blog Post,blog-post-get-blogposts,reviewed,GET,/blogposts,Get blog posts,extract,Blog Post extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-blog-post/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Blog Post,blog-post-post-blogposts,reviewed,POST,/blogposts,Create blog post,load,Blog Post creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-blog-post/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-blogposts-blogpost-id-properties,reviewed,GET,/blogposts/{blogpost-id}/properties,Get content properties for blog post,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-blogposts-blogpost-id-properties,reviewed,POST,/blogposts/{blogpost-id}/properties,Create content property for blog post,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-blogposts-blogpost-id-properties-property-id,reviewed,DELETE,/blogposts/{blogpost-id}/properties/{property-id},Delete content property for blogpost by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-blogposts-blogpost-id-properties-property-id,reviewed,GET,/blogposts/{blogpost-id}/properties/{property-id},Get content property for blog post by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-blogposts-blogpost-id-properties-property-id,reviewed,PUT,/blogposts/{blogpost-id}/properties/{property-id},Update content property for blog post by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-blogposts-blogpost-id-versions-version-number,reviewed,GET,/blogposts/{blogpost-id}/versions/{version-number},Get version details for blog post version,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Blog Post,blog-post-delete-blogposts-id,reviewed,DELETE,/blogposts/{id},Delete blog post,reconcile,Blog Post reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-blog-post/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Blog Post,blog-post-get-blogposts-id,reviewed,GET,/blogposts/{id},Get blog post by id,extract,Blog Post extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-blog-post/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Blog Post,blog-post-put-blogposts-id,reviewed,PUT,/blogposts/{id},Update blog post,load,Blog Post creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-blog-post/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-blogposts-id-attachments,reviewed,GET,/blogposts/{id}/attachments,Get attachments for blog post,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-get-blogposts-id-classification-level,reviewed,GET,/blogposts/{id}/classification-level,Get blog post classification level,extract,Classification Level extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-put-blogposts-id-classification-level,reviewed,PUT,/blogposts/{id}/classification-level,Update blog post classification level,load,Classification Level creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-post-blogposts-id-classification-level-reset,reviewed,POST,/blogposts/{id}/classification-level/reset,Reset blog post classification level,transform,Classification Level reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-get-blogposts-id-custom-content,reviewed,GET,/blogposts/{id}/custom-content,Get custom content by type in blog post,extract,Custom Content extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Comment,comment-get-blogposts-id-footer-comments,reviewed,GET,/blogposts/{id}/footer-comments,Get footer comments for blog post,extract,Comment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-comment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Comment,comment-get-blogposts-id-inline-comments,reviewed,GET,/blogposts/{id}/inline-comments,Get inline comments for blog post,extract,Comment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-comment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Label,label-get-blogposts-id-labels,reviewed,GET,/blogposts/{id}/labels,Get labels for blog post,extract,Label extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-label/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Like,like-get-blogposts-id-likes-count,reviewed,GET,/blogposts/{id}/likes/count,Get like count for blog post,extract,Like extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-like/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Like,like-get-blogposts-id-likes-users,reviewed,GET,/blogposts/{id}/likes/users,Get account IDs of likes for blog post,extract,Like extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-like/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Operation,operation-get-blogposts-id-operations,reviewed,GET,/blogposts/{id}/operations,Get permitted operations for blog post,extract,Operation extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-operation/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Redactions,redactions-post-blogposts-id-redact,reviewed,POST,/blogposts/{id}/redact,Redact Content in a Confluence Blog Post,transform,Redactions reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-redactions/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-blogposts-id-versions,reviewed,GET,/blogposts/{id}/versions,Get blog post versions,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-get-classification-levels,reviewed,GET,/classification-levels,Get list of classification levels,extract,Classification Level extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-comments-comment-id-properties,reviewed,GET,/comments/{comment-id}/properties,Get content properties for comment,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-comments-comment-id-properties,reviewed,POST,/comments/{comment-id}/properties,Create content property for comment,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-comments-comment-id-properties-property-id,reviewed,DELETE,/comments/{comment-id}/properties/{property-id},Delete content property for comment by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-comments-comment-id-properties-property-id,reviewed,GET,/comments/{comment-id}/properties/{property-id},Get content property for comment by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-comments-comment-id-properties-property-id,reviewed,PUT,/comments/{comment-id}/properties/{property-id},Update content property for comment by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content,content-post-content-convert-ids-to-types,reviewed,POST,/content/convert-ids-to-types,Convert content ids to content types,transform,Content reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-get-custom-content,reviewed,GET,/custom-content,Get custom content by type,extract,Custom Content extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-post-custom-content,reviewed,POST,/custom-content,Create custom content,load,Custom Content creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-custom-content-custom-content-id-properties,reviewed,GET,/custom-content/{custom-content-id}/properties,Get content properties for custom content,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-custom-content-custom-content-id-properties,reviewed,POST,/custom-content/{custom-content-id}/properties,Create content property for custom content,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-custom-content-custom-content-id-properties-property-id,reviewed,DELETE,/custom-content/{custom-content-id}/properties/{property-id},Delete content property for custom content by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-custom-content-custom-content-id-properties-property-id,reviewed,GET,/custom-content/{custom-content-id}/properties/{property-id},Get content property for custom content by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-custom-content-custom-content-id-properties-property-id,reviewed,PUT,/custom-content/{custom-content-id}/properties/{property-id},Update content property for custom content by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-custom-content-custom-content-id-versions,reviewed,GET,/custom-content/{custom-content-id}/versions,Get custom content versions,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Version,version-get-custom-content-custom-content-id-versions-version-number,reviewed,GET,/custom-content/{custom-content-id}/versions/{version-number},Get version details for custom content version,extract,Version extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-version/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-delete-custom-content-id,reviewed,DELETE,/custom-content/{id},Delete custom content,reconcile,Custom Content reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-get-custom-content-id,reviewed,GET,/custom-content/{id},Get custom content by id,extract,Custom Content extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Custom Content,custom-content-put-custom-content-id,reviewed,PUT,/custom-content/{id},Update custom content,load,Custom Content creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-custom-content/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Attachment,attachment-get-custom-content-id-attachments,reviewed,GET,/custom-content/{id}/attachments,Get attachments for custom content,extract,Attachment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-attachment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Children,children-get-custom-content-id-children,reviewed,GET,/custom-content/{id}/children,Get child custom content,extract,Children extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-children/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Comment,comment-get-custom-content-id-footer-comments,reviewed,GET,/custom-content/{id}/footer-comments,Get custom content comments,extract,Comment extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-comment/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Label,label-get-custom-content-id-labels,reviewed,GET,/custom-content/{id}/labels,Get labels for custom content,extract,Label extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-label/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Operation,operation-get-custom-content-id-operations,reviewed,GET,/custom-content/{id}/operations,Get permitted operations for custom content,extract,Operation extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-operation/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Data Policies,data-policies-get-data-policies-metadata,reviewed,GET,/data-policies/metadata,Get data policy metadata for the workspace,extract,Data Policies extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-data-policies/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Data Policies,data-policies-get-data-policies-spaces,reviewed,GET,/data-policies/spaces,Get spaces with data policies,extract,Data Policies extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-data-policies/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Database,database-post-databases,reviewed,POST,/databases,Create database,load,Database creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-database/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-databases-database-id-properties-property-id,reviewed,DELETE,/databases/{database-id}/properties/{property-id},Delete content property for database by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-databases-database-id-properties-property-id,reviewed,GET,/databases/{database-id}/properties/{property-id},Get content property for database by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-databases-database-id-properties-property-id,reviewed,PUT,/databases/{database-id}/properties/{property-id},Update content property for database by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Database,database-delete-databases-id,reviewed,DELETE,/databases/{id},Delete database,reconcile,Database reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-database/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Database,database-get-databases-id,reviewed,GET,/databases/{id},Get database by id,extract,Database extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-database/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Ancestors,ancestors-get-databases-id-ancestors,reviewed,GET,/databases/{id}/ancestors,Get all ancestors of database,extract,Ancestors extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-ancestors/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-get-databases-id-classification-level,reviewed,GET,/databases/{id}/classification-level,Get database classification level,extract,Classification Level extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-put-databases-id-classification-level,reviewed,PUT,/databases/{id}/classification-level,Update database classification level,load,Classification Level creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Classification Level,classification-level-post-databases-id-classification-level-reset,reviewed,POST,/databases/{id}/classification-level/reset,Reset database classification level,transform,Classification Level reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-classification-level/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Descendants,descendants-get-databases-id-descendants,reviewed,GET,/databases/{id}/descendants,Get descendants of a database,extract,Descendants extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-descendants/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Children,children-get-databases-id-direct-children,reviewed,GET,/databases/{id}/direct-children,Get direct children of a database,extract,Children extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-children/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Operation,operation-get-databases-id-operations,reviewed,GET,/databases/{id}/operations,Get permitted operations for a database,extract,Operation extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-operation/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-databases-id-properties,reviewed,GET,/databases/{id}/properties,Get content properties for database,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-post-databases-id-properties,reviewed,POST,/databases/{id}/properties,Create content property for database,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Smart Link,smart-link-post-embeds,reviewed,POST,/embeds,Create Smart Link in the content tree,load,Smart Link creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-smart-link/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-delete-embeds-embed-id-properties-property-id,reviewed,DELETE,/embeds/{embed-id}/properties/{property-id},Delete content property for Smart Link in the content tree by id,reconcile,Content Properties reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-get-embeds-embed-id-properties-property-id,reviewed,GET,/embeds/{embed-id}/properties/{property-id},Get content property for Smart Link in the content tree by id,extract,Content Properties extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Content Properties,content-properties-put-embeds-embed-id-properties-property-id,reviewed,PUT,/embeds/{embed-id}/properties/{property-id},Update content property for Smart Link in the content tree by id,load,Content Properties creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-content-properties/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Smart Link,smart-link-delete-embeds-id,reviewed,DELETE,/embeds/{id},Delete Smart Link in the content tree,reconcile,Smart Link reconciliation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-smart-link/
confluence-cloud.yml,Atlassian,Confluence Cloud,Confluence Cloud REST API v2,Smart Link,smart-link-get-embeds-id,reviewed,GET,/embeds/{id},Get Smart Link in the content tree by id,extract,Smart Link extraction; Source-to-target validation,https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-smart-link/
