catalog,vendor,product,api_family,api_group,id,status,method,path,summary,migration_phase,migration_use,official_doc_url
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue votes,issue-votes-get-rest-api-3-issue-issueidorkey-votes,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/votes,Get votes,extract,Issue votes extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-votes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue votes,issue-votes-post-rest-api-3-issue-issueidorkey-votes,reviewed,POST,/rest/api/3/issue/{issueIdOrKey}/votes,Add vote,load,Issue votes creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-votes/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue watchers,issue-watchers-delete-rest-api-3-issue-issueidorkey-watchers,reviewed,DELETE,/rest/api/3/issue/{issueIdOrKey}/watchers,Delete watcher,reconcile,Issue watchers reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-watchers/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue watchers,issue-watchers-get-rest-api-3-issue-issueidorkey-watchers,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/watchers,Get issue watchers,extract,Issue watchers extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-watchers/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue watchers,issue-watchers-post-rest-api-3-issue-issueidorkey-watchers,reviewed,POST,/rest/api/3/issue/{issueIdOrKey}/watchers,Add watcher,load,Issue watchers creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-watchers/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-delete-rest-api-3-issue-issueidorkey-worklog,reviewed,DELETE,/rest/api/3/issue/{issueIdOrKey}/worklog,Bulk delete worklogs,reconcile,Issue worklogs reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-get-rest-api-3-issue-issueidorkey-worklog,reviewed,GET,/rest/api/3/issue/{issueIdOrKey}/worklog,Get issue worklogs,extract,Issue worklogs extraction; Source-to-target validation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-post-rest-api-3-issue-issueidorkey-worklog,reviewed,POST,/rest/api/3/issue/{issueIdOrKey}/worklog,Add worklog,load,Issue worklogs creation or update during target load; Post-migration correction or backfill,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-post-rest-api-3-issue-issueidorkey-worklog-move,reviewed,POST,/rest/api/3/issue/{issueIdOrKey}/worklog/move,Bulk move worklogs,transform,Issue worklogs reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
jira-cloud.yml,Atlassian,Jira Cloud,Jira Cloud Platform REST API v3,Issue worklogs,issue-worklogs-delete-rest-api-3-issue-issueidorkey-worklog-id,reviewed,DELETE,/rest/api/3/issue/{issueIdOrKey}/worklog/{id},Delete worklog,reconcile,Issue worklogs reconciliation,https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-worklogs/
